step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.228517000493594,0,0.0,0.5069528646459814,0,0.0,0.48543906177746055,0,0.0,0.1179841342607204,0,0.0
10.0,0,0.0,0.0,9.0907438750002,0,0.0,0.5528649088887657,0,0.0,0.9360736502818514,0,0.0,0.5909758956032288,0,0.0
15.0,0,0.0,0.0,10.560896263728646,0,0.0,0.6918675433025335,0,0.0,1.0,0,0.0,0.6743430758002217,0,0.0
20.0,1,2.0,0.18181818181818182,6.898924052942326,0,0.0,0.3481936565125035,0,0.0,1.0,1,2.0,0.4156864818847051,1,2.0
25.0,0,0.0,0.0,8.048293594981986,0,0.0,0.45382436424967404,0,0.0,0.33648376302293903,0,0.0,0.7258197546443103,0,0.0
30.0,2,7.0,0.5833333333333334,10.688771400343136,1,4.0,0.49267977177921435,0,1.0,0.9723571311893622,1,3.0,0.746182993077596,2,8.0
35.0,2,10.0,0.8333333333333334,8.560931864438937,1,9.0,0.48301362413547594,0,1.0,0.4900798018434691,1,1.0,0.6459933873902324,2,11.0
40.0,3,25.0,2.0833333333333335,7.69014052296096,1,14.0,0.22386365603163125,1,7.0,0.6965674392102633,1,6.0,0.6802719965975041,3,27.0
45.0,1,10.0,0.7692307692307693,9.682013133018692,0,0.0,0.8552160664207624,1,12.0,0.7388657511765745,0,0.0,0.6739860471242963,1,12.0
50.0,3,15.0,0.9375,9.715700242755116,1,0.0,0.6469210082137377,1,17.0,0.7343399735605333,1,0.0,0.5775096992715102,3,17.0
55.0,1,20.0,1.5384615384615385,10.405195676926024,0,0.0,0.6947405732259633,1,20.0,0.513864822376519,0,0.0,0.9007636689659172,1,20.0
60.0,1,2.0,0.14285714285714285,7.600206821972984,0,0.0,0.6035917599593074,1,2.0,0.00747536232327107,0,0.0,0.6637150808585149,1,2.0
65.0,4,19.0,1.1875,8.628521011897751,1,3.0,0.606211316786112,2,11.0,0.5634048469368982,1,5.0,0.4963739945281481,4,19.0
70.0,2,8.0,0.47058823529411764,8.621264430618934,2,8.0,0.5847819827072612,0,7.0,0.7781497425540933,0,0.0,0.39918590275759425,2,15.0
75.0,2,17.0,0.9444444444444444,10.877349027590663,1,15.0,0.8149324363932207,0,0.0,0.9166989600328561,1,4.0,0.46957962887102406,2,19.0
80.0,1,18.0,0.9473684210526315,11.078737825941664,1,20.0,0.8112467991984872,0,0.0,0.8704869421548947,0,0.0,0.7815703715450085,1,20.0
85.0,3,23.0,1.15,10.125578816815183,2,23.0,0.5498606358304153,0,2.0,0.9303740321888629,1,0.0,0.7011794618593888,3,25.0
90.0,1,28.0,1.4,10.587263577539904,1,28.0,0.34062585395779,0,2.0,0.8101997649847659,0,0.0,0.80323950062431,1,30.0
95.0,2,7.0,0.3181818181818182,9.895586301554689,0,0.0,0.4974984441905565,1,6.0,0.7988177897288165,1,3.0,0.5876885521252646,2,9.0
100.0,1,9.0,0.4090909090909091,11.10739297842083,0,0.0,0.6940147572632496,1,9.0,0.6978613095675409,0,0.0,0.9259770864019817,1,9.0
105.0,2,15.0,0.75,10.481089041253075,0,0.0,0.806748031684563,1,14.0,0.49869266831939657,1,1.0,0.693188431131871,2,15.0
110.0,1,2.0,0.125,8.83483108182315,1,2.0,0.7556795083322412,0,0.0,0.3448044205306165,0,2.0,0.6697173223699897,1,4.0
115.0,3,9.0,0.47368421052631576,8.817318813585782,2,7.0,0.46778704789716086,1,4.0,0.6487117546233897,0,0.0,0.6336110582041425,3,11.0
120.0,2,12.0,0.5714285714285714,9.361178638837414,2,12.0,0.2134143114422289,0,2.0,0.8516491506027851,0,0.0,0.28757177042564047,2,14.0
125.0,1,5.0,0.2777777777777778,9.446706289468194,0,2.0,0.7076350437953647,0,2.0,0.6709046839721923,1,5.0,0.38422997080970084,1,9.0
130.0,1,5.0,0.25,10.182190411664974,0,2.0,0.7885065656641095,1,5.0,0.3328618840906872,0,0.0,0.5512743211676747,1,7.0
135.0,1,2.0,0.125,11.6193525099605,0,2.0,0.9263611901086783,1,2.0,0.5696935399000904,0,0.0,0.8891364521338533,1,4.0
140.0,1,7.0,0.4375,11.86013246221209,0,0.0,0.8181278446025452,1,7.0,0.6313844877615776,0,0.0,0.8261971239224949,1,7.0
145.0,1,0.0,0.0,10.827260085912357,0,0.0,0.8254700713938672,1,0.0,0.6912400300243078,0,0.0,0.8109450590659559,1,0.0
150.0,1,1.0,0.058823529411764705,10.495567798456696,0,2.0,0.9370252289350761,0,0.0,0.9232522262547367,1,1.0,0.4210613904829392,1,3.0
155.0,2,2.0,0.1,9.491406333036528,1,4.0,0.5989716196685659,1,0.0,0.6025953630387828,0,0.0,0.7246969853290478,2,4.0
160.0,3,3.0,0.13636363636363635,9.819344894629799,2,2.0,0.5095806940762272,1,5.0,0.633156634594575,0,0.0,0.8018606550395441,3,7.0
165.0,4,16.0,0.7619047619047619,9.72825816592223,1,4.0,0.6357268175804779,1,10.0,0.6332572754397174,2,6.0,0.6408366038884762,4,20.0
170.0,2,16.0,0.8421052631578947,7.955119083327687,0,1.0,0.3699031617841415,0,5.0,0.6210667642085842,2,16.0,0.4803419377269239,2,22.0
175.0,7,43.0,2.15,7.755318299518564,3,8.0,0.24439260515917796,2,11.0,0.5839811422258199,2,26.0,0.16086445895428056,7,45.0
180.0,2,36.0,1.565217391304348,7.928593370023747,0,7.0,0.35096963465493713,0,0.0,0.6900512526848147,2,36.0,0.255553062707932,2,43.0
185.0,2,6.0,0.2608695652173913,10.478382374991325,1,7.0,0.7242536242133153,1,1.0,0.45916042105407384,0,21.0,0.7730700413715209,2,29.0
190.0,2,7.0,0.35,9.633185610064016,1,3.0,0.6590320695518286,1,6.0,0.0,0,2.0,0.6727020228076511,2,11.0
195.0,4,10.0,0.47619047619047616,9.927999775144704,4,10.0,0.5119720035317485,0,2.0,0.8997394598829366,0,0.0,0.7810815651540784,4,12.0
200.0,2,20.0,0.9090909090909091,11.315002969768672,2,20.0,0.6430143784784934,0,2.0,0.8901481222700163,0,0.0,0.8693048592186383,2,22.0
205.0,3,30.0,1.1538461538461537,9.876045355138903,2,30.0,0.5080490078120308,0,2.0,0.8216031719441258,1,0.0,0.6017408763472714,3,32.0
210.0,5,49.0,1.75,9.475205374208603,4,47.0,0.3535157861600291,0,0.0,0.7507408931245029,1,2.0,0.6139918301390207,5,49.0
215.0,0,0.0,0.0,9.028300575353212,0,13.0,0.6731527570996103,0,0.0,0.7297843667159466,0,1.0,0.4481504403820716,0,14.0
220.0,5,18.0,0.72,8.605878305690231,1,2.0,0.4805955406244438,2,8.0,0.5726395590579634,2,10.0,0.599209814516332,5,20.0
225.0,3,21.0,0.84,8.075520841096518,0,4.0,0.5931844145646447,3,23.0,0.37404468771710475,0,0.0,0.5299721352970569,3,27.0
230.0,4,9.0,0.375,8.582436523389267,0,0.0,0.5081110291018374,0,10.0,0.5952001065428589,4,9.0,0.5040748200859493,4,19.0
235.0,2,8.0,0.34782608695652173,9.350704744767905,1,5.0,4.3815763219944655e-05,1,5.0,0.6194782197585312,0,8.0,0.63206567280923,2,18.0
240.0,1,0.0,0.0,9.802758463759034,0,0.0,0.36979277111038494,0,3.0,0.7963103260498177,1,0.0,0.6182156944111384,1,3.0
245.0,1,3.0,0.13043478260869565,9.056183893629198,0,2.0,0.5882102630093993,0,0.0,0.9376246241833129,1,3.0,0.491922566485554,1,5.0
250.0,4,19.0,0.8260869565217391,10.481733147889063,0,2.0,0.9484611881630524,0,0.0,1.0,4,19.0,0.4558294560994839,4,21.0
255.0,0,0.0,0.0,8.975852269209948,0,0.0,0.6238318634452799,0,0.0,0.787455044585726,0,12.0,0.5640161248133096,0,12.0
260.0,2,4.0,0.17391304347826086,10.592147582621296,1,4.0,0.7266092274421461,1,2.0,0.7636817217258907,0,0.0,0.6490774432775612,2,6.0
265.0,2,10.0,0.38461538461538464,10.671530350193915,2,10.0,0.5623533149160875,0,2.0,0.8224725999980459,0,0.0,0.6784806339089554,2,12.0
