step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,3.915274842083454,0,0.0,0.2565085434988922,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.0969091605860735,0,0.0,0.49558753724221455,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,0.0,0.0,8.94141030654358,1,0.0,0.637745669368908,0,0.0,1.0,0,0.0,1.0,1,0.0
20.0,0,0.0,0.0,11.992336752152466,0,0.0,0.8271546775946883,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,10.008312673352084,0,0.0,0.785015343392842,0,0.0,0.9497378724980456,0,0.0,0.5366293857061623,0,0.0
30.0,1,1.0,0.07692307692307693,6.559675999392834,1,1.0,0.1682707885037365,0,0.0,0.5559395152206464,0,0.0,0.6761860459605018,1,1.0
35.0,2,1.0,0.0625,8.023628105247457,2,7.0,0.291067064723293,0,0.0,0.7919647065344213,0,0.0,0.7510267410378184,2,7.0
40.0,1,0.0,0.0,10.55449523583351,0,1.0,0.8309334326872629,0,2.0,0.8118189315329399,1,0.0,0.6435624450312271,1,3.0
45.0,1,0.0,0.0,10.863639258059742,0,0.0,0.8218934963636237,0,2.0,0.9138059858624619,1,0.0,0.6518845698994158,1,2.0
50.0,0,0.0,0.0,11.241712924335431,0,0.0,0.6355928993273067,0,2.0,0.908428097682814,0,0.0,0.8748662530656282,0,2.0
55.0,2,5.0,0.3125,9.928770164112802,2,5.0,0.3032729853027696,0,0.0,0.9108661870238709,0,0.0,0.8681374844481315,2,5.0
60.0,1,0.0,0.0,8.137854342357278,0,5.0,0.3994423468809969,1,0.0,0.6277594868874248,0,0.0,0.7299940127095321,1,5.0
