step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.106433614203706,0,0.0,0.3078752278016124,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,8.65297043795387,0,0.0,0.9297274028616188,0,0.0,1.0,0,0.0,0.3796051274770138,0,0.0
15.0,0,0.0,0.0,11.122250816929226,0,0.0,0.7221769742298088,0,0.0,0.5165603525726123,0,0.0,0.9338332090991276,0,0.0
20.0,1,0.0,0.0,8.216303649840894,0,0.0,0.5280271163439193,0,0.0,0.9529865549970071,1,0.0,0.3365791192509236,1,0.0
25.0,2,6.0,0.5454545454545454,7.986802632175006,0,0.0,0.7013095511360715,1,3.0,0.5551325359633028,1,3.0,0.3253374057091963,2,6.0
30.0,1,8.0,0.7272727272727273,10.810208252487165,0,0.0,0.9418247621353719,0,0.0,0.9097726970157144,1,8.0,0.5922338917037506,1,8.0
35.0,1,1.0,0.07692307692307693,9.887805740756855,0,0.0,0.9509942064627174,1,1.0,0.6154884352062663,0,0.0,0.6040987137149202,1,1.0
40.0,0,0.0,0.0,9.349441313402009,0,0.0,0.29105960866402,0,0.0,0.980420596348306,0,0.0,0.5152020834635173,0,0.0
45.0,2,2.0,0.16666666666666666,8.949618838290268,1,2.0,0.4620011218399591,0,0.0,0.9178802417977284,1,2.0,0.6244803519142693,2,4.0
50.0,3,11.0,0.7333333333333333,9.428948777248815,2,7.0,0.3414654959760105,0,2.0,0.9033561428673237,1,6.0,0.6701043838871765,3,15.0
55.0,1,9.0,0.5,11.055013250078774,0,0.0,0.7147979038979186,0,2.0,0.9019930815651731,1,9.0,0.7343171682864884,1,11.0
60.0,2,2.0,0.1,10.213826195438557,0,0.0,0.7297920558106402,0,2.0,0.8472875560892537,2,2.0,0.5597295206270957,2,4.0
65.0,3,15.0,0.75,9.580516232132771,0,0.0,0.8534047827045015,1,6.0,0.6248208986739864,2,11.0,0.35108689883524125,3,17.0
70.0,5,29.0,1.380952380952381,6.137025176944224,1,2.0,0.5980304180348871,0,2.0,0.25470203004464737,4,27.0,0.07738721937529625,5,31.0
75.0,5,20.0,1.0,7.032683630720032,3,13.0,0.4953942546431795,1,6.0,0.40011026348121054,1,19.0,0.30052033815482704,5,38.0
80.0,1,1.0,0.058823529411764705,7.203867336407774,0,13.0,0.3035120437408256,1,3.0,0.6132254448503691,0,3.0,0.7642591146816549,1,19.0
85.0,1,6.0,0.3,10.344481214449385,0,0.0,0.474895858957569,1,10.0,0.7865618563451254,0,2.0,0.6904312585856132,1,12.0
90.0,1,11.0,0.5238095238095238,11.678416165023537,0,0.0,0.6108674737602092,1,15.0,0.8305755860312314,0,2.0,0.9239689005424762,1,17.0
95.0,0,0.0,0.0,9.351279595651858,0,0.0,0.9774160564586919,0,4.0,0.5901046974613267,0,0.0,0.0880592410769213,0,4.0
100.0,4,11.0,0.6111111111111112,6.059048681912036,0,0.0,0.9312353388592166,4,15.0,0.12432156222596041,0,0.0,0.40329828452265387,4,15.0
105.0,6,8.0,0.4444444444444444,4.8805870945209655,3,2.0,0.26213458177105636,3,22.0,0.091998679193215,0,0.0,0.9280718924938683,6,24.0
110.0,1,7.0,0.3888888888888889,8.813007339052684,1,9.0,0.5583084480719369,0,7.0,0.5044576892653305,0,2.0,0.8996566601107321,1,18.0
115.0,0,0.0,0.0,10.6307839195795,0,5.0,0.8006616819387353,0,0.0,1.0,0,2.0,0.8366145710837328,0,7.0
120.0,3,3.0,0.13043478260869565,10.311230438428959,2,5.0,0.7143724947917992,0,2.0,0.9275503347310093,1,2.0,0.7374951272484501,3,9.0
125.0,1,2.0,0.08333333333333333,10.026200510165433,1,2.0,0.5885908461150398,0,2.0,0.9235625421388075,0,0.0,0.9047133969220441,1,4.0
130.0,4,16.0,0.6666666666666666,8.220060285247973,4,16.0,0.22271436885222679,0,2.0,0.833594383663614,0,0.0,0.7459834073467858,4,18.0
135.0,2,8.0,0.32,6.904555126202588,1,21.0,0.09802738541424141,0,0.0,0.7327999746165369,1,4.0,0.043452763188468656,2,25.0
140.0,2,14.0,0.6086956521739131,9.658627066831244,1,9.0,0.5341981837010793,0,2.0,0.9125671170039027,1,9.0,0.5761131542858401,2,20.0
145.0,3,12.0,0.46153846153846156,9.398626670307292,1,10.0,0.5805390985921619,1,4.0,0.7377031514111538,1,0.0,0.6248992459968559,3,14.0
150.0,2,22.0,0.7333333333333333,10.202341275306491,1,15.0,0.680429776523342,1,7.0,0.6950913134850057,0,0.0,0.7083403346673156,2,22.0
155.0,2,22.0,0.8148148148148148,9.356029018410297,1,20.0,0.7340676857685671,0,0.0,0.3155026028749497,1,2.0,0.6355540408954952,2,22.0
160.0,2,7.0,0.28,8.114635658846543,0,0.0,0.6049321233376361,2,7.0,0.3338906482332923,0,5.0,0.464626324583295,2,12.0
165.0,4,11.0,0.4583333333333333,7.985538507093632,3,8.0,0.31935805312891036,0,10.0,0.640052831918619,1,3.0,0.3023247613859839,4,21.0
170.0,1,4.0,0.15384615384615385,9.086403031464231,0,7.0,0.4692971404112232,0,0.0,0.748737790535464,1,6.0,0.6444392959067085,1,13.0
175.0,1,9.0,0.391304347826087,12.427004981516703,0,0.0,0.9249979493061032,0,0.0,0.867587490273961,1,11.0,0.8263389893416122,1,11.0
180.0,0,0.0,0.0,10.915886596251886,0,0.0,0.728010106788295,0,0.0,0.7449171603627908,0,2.0,0.8089366722815855,0,2.0
185.0,1,4.0,0.17391304347826086,10.390511425282854,0,0.0,0.8692953419266992,1,4.0,0.6381273278179457,0,0.0,0.49709458098109716,1,4.0
190.0,3,3.0,0.13043478260869565,9.810971310663561,2,2.0,0.0496000814932582,0,0.0,0.8790829096955157,1,1.0,0.743314703331397,3,3.0
195.0,3,18.0,0.782608695652174,8.291474024455168,2,12.0,0.3585717315120142,0,0.0,0.39882007267551817,1,6.0,0.7140095991391275,3,18.0
200.0,6,37.0,1.7619047619047619,7.287133868328451,2,22.0,0.3979082354440887,4,15.0,0.2964255590721555,0,0.0,0.6118064125603254,6,37.0
205.0,4,39.0,2.1666666666666665,6.271688342010558,3,35.0,0.34293043764389414,1,16.0,0.3737862293448035,0,0.0,0.4640834186829565,4,51.0
210.0,4,50.0,2.380952380952381,8.611216040758174,3,52.0,0.4720342004999262,1,4.0,0.5772926621417511,0,2.0,0.7317829141305598,4,58.0
215.0,3,65.0,3.0952380952380953,9.754404373514799,3,67.0,0.5089792856795291,0,0.0,0.8547917983793702,0,2.0,0.8302496989172806,3,69.0
220.0,4,81.0,3.857142857142857,8.447190169675329,3,80.0,0.5607154584566484,1,1.0,0.4339877524879592,0,2.0,0.7832779049781663,4,83.0
225.0,2,8.0,0.3333333333333333,7.940014992540338,0,21.0,0.45939575606687844,2,8.0,0.5002324641734864,0,0.0,0.643849330891553,2,29.0
230.0,4,12.0,0.5,8.3952428460895,4,12.0,0.20062205736224303,0,5.0,0.7124704889614952,0,0.0,0.8133108652459139,4,17.0
