episode,waiting_seed_666,waiting_seed_888,waiting_seed_999,waiting_mean,waiting_sample_sd,queue_seed_666,queue_seed_888,queue_seed_999,queue_mean,queue_sample_sd
1,207.70833333333334,209.62291666666667,222.8625,213.39791666666667,8.252282144369389,26.805555555555557,26.63715277777778,27.29513888888889,26.912615740740744,0.34180819627781783
2,204.96909722222222,210.59583333333333,211.40277777777777,208.98923611111113,3.5048434128463617,25.732291666666665,26.871180555555554,26.864583333333336,26.489351851851854,0.6556416504690151
3,224.7590277777778,225.75208333333333,236.94479166666667,229.15196759259257,6.767024465834766,27.04375,27.289930555555557,27.834375,27.389351851851853,0.4045805460896231
4,197.57361111111112,228.0222222222222,189.87604166666668,205.15729166666665,20.172182103599855,25.64340277777778,27.28611111111111,25.629513888888887,26.18634259259259,0.9524527920332613
5,192.43125,211.37395833333335,229.3347222222222,211.04664351851852,18.45391331818483,25.569791666666667,26.744791666666668,27.561805555555555,26.62546296296296,1.0013537526904577
6,199.29166666666666,199.653125,201.59305555555557,200.1792824074074,1.2376303638415636,26.202083333333334,26.227430555555557,25.920833333333334,26.11678240740741,0.1701694747640157
7,194.41493055555554,187.69479166666667,196.13020833333331,192.74664351851848,4.458301225077628,26.184375,25.54236111111111,26.136111111111113,25.95428240740741,0.3575496000549945
8,175.21284722222222,187.40729166666668,192.2861111111111,184.96875,8.79397231346343,24.257986111111112,24.913194444444443,25.975,25.048726851851853,0.8664934787709442
9,186.57743055555557,178.47986111111112,187.25694444444446,184.10474537037035,4.883126762520627,25.675,24.877430555555556,25.47013888888889,25.340856481481485,0.4142037063168875
10,167.75625,175.1628472222222,172.6795138888889,171.8662037037037,3.769685092425088,23.879166666666666,24.645138888888887,24.52638888888889,24.350231481481483,0.4122522716036703
11,172.92777777777778,171.7277777777778,175.0611111111111,173.2388888888889,1.6883039922864425,24.597569444444446,24.362152777777776,24.39236111111111,24.450694444444448,0.12809112018186417
12,161.0170138888889,163.5013888888889,155.8204861111111,160.11296296296297,3.9194448494549947,22.840625,23.677777777777777,23.162847222222222,23.227083333333336,0.42225691446472685
13,161.43541666666667,152.43194444444444,162.61006944444443,158.8258101851852,5.568311379587969,23.795833333333334,22.494791666666668,23.38854166666667,23.22638888888889,0.6655054448360895
14,151.12465277777778,166.9,144.60034722222224,154.20833333333334,11.46518394221813,23.041319444444444,23.59027777777778,22.825347222222224,23.152314814814815,0.394359820327039
15,140.44479166666667,156.69305555555556,138.12743055555555,145.08842592592592,10.116477265356801,22.09513888888889,23.19236111111111,21.535069444444442,22.274189814814815,0.8430292655992998
16,148.60902777777778,153.72430555555556,153.21319444444447,151.8488425925926,2.817376202727548,22.735416666666666,22.59097222222222,22.864930555555556,22.730439814814815,0.13704695870927353
17,149.334375,143.7451388888889,160.54618055555557,151.20856481481482,8.555886328588876,23.072916666666668,22.184375,23.28333333333333,22.846875,0.5833082211856591
18,140.0875,133.865625,143.7982638888889,139.25046296296296,5.018944318808075,21.659375,21.70590277777778,22.162152777777777,21.842476851851853,0.27782320230441965
19,137.10833333333335,150.27118055555556,142.3517361111111,143.24375,6.626605717286095,22.21527777777778,22.405555555555555,21.691666666666666,22.104166666666668,0.3696871592022265
20,143.66041666666666,150.5486111111111,128.50173611111111,140.90358796296297,11.279018250387727,22.38715277777778,23.234375,21.005208333333332,22.208912037037038,1.1252214573981878
21,137.01736111111111,129.68958333333333,143.71006944444446,136.8056712962963,7.0126398118851965,22.131944444444443,21.202430555555555,21.803819444444443,21.71273148148148,0.47140405190970996
22,137.48402777777778,129.328125,124.41527777777779,130.4091435185185,6.601098955375533,21.66875,21.091666666666665,20.671875,21.14409722222222,0.5005014123587943
23,136.68159722222222,126.33229166666666,125.50694444444444,129.50694444444446,6.227120632408151,21.183333333333334,20.698611111111113,21.40138888888889,21.094444444444445,0.35972222222222117
24,119.50104166666667,139.87430555555557,120.27673611111112,126.55069444444445,11.545102219031158,20.209722222222222,21.572222222222223,20.28611111111111,20.689351851851853,0.765541562388912
25,129.5420138888889,142.53680555555556,134.3701388888889,135.4829861111111,6.568483410957439,21.07673611111111,22.54826388888889,21.668055555555554,21.764351851851853,0.7404750047794936
26,134.040625,131.34409722222222,116.02083333333333,127.13518518518516,9.719281266078983,21.197916666666664,21.25486111111111,19.938541666666666,20.79710648148148,0.7440838819426003
27,125.11145833333333,122.78472222222221,108.11875,118.67164351851852,9.21282239287069,20.536805555555553,20.647569444444443,19.23784722222222,20.14074074074074,0.7838875487641764
28,122.553125,113.57048611111111,119.53020833333333,118.55127314814814,4.570632989492802,20.32604166666667,19.535069444444446,19.964930555555554,19.94201388888889,0.3959837677103995
29,113.10868055555555,115.78229166666667,113.22534722222223,114.03877314814815,1.5110577077300966,19.578819444444445,19.90763888888889,19.460069444444443,19.64884259259259,0.23185562934186185
