step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,2,0.0,0.0,2.3328370925446507,1,0.0,0.21846865893425227,1,0.0,0.0,0,0.0,1.0,2,0.0
15.0,1,0.0,0.0,6.478280876623231,0,0.0,0.5628018793463212,0,0.0,0.4549626267379973,1,0.0,0.19760449671754915,1,0.0
20.0,1,1.0,0.09090909090909091,8.5317160809954,1,1.0,0.6110504036464516,0,0.0,0.5482604583112718,0,0.0,0.6607227210815347,1,1.0
25.0,3,2.0,0.11764705882352941,7.321225888620596,1,0.0,0.6061419320691239,1,2.0,0.2635444882139293,1,0.0,0.5804280602536439,3,2.0
30.0,0,0.0,0.0,8.954489569974825,0,0.0,0.35266786829273844,0,0.0,0.6133208645369485,0,0.0,0.9155165909194172,0,0.0
35.0,1,1.0,0.05555555555555555,9.06064444146656,0,2.0,0.46880971278731326,0,0.0,0.9228986712764017,1,1.0,0.5593573102574829,1,3.0
40.0,3,12.0,0.631578947368421,9.113711133866655,1,2.0,0.5847365242654736,0,2.0,0.8530893113902014,2,10.0,0.45360902843193374,3,14.0
45.0,0,0.0,0.0,10.52988538719365,0,0.0,0.894061307312275,0,2.0,0.8933791859308379,0,0.0,0.7038988073759787,0,2.0
50.0,2,1.0,0.05555555555555555,10.246992446424153,0,0.0,0.7055414496205437,0,2.0,0.891686218247015,2,1.0,0.45920340728468173,2,3.0
55.0,1,6.0,0.375,8.734364668948313,0,0.0,0.6723320032306253,0,0.0,0.9303197619116031,1,6.0,0.5128563114172909,1,6.0
60.0,2,14.0,0.7777777777777778,10.247953691429032,0,0.0,0.8880365948500665,0,2.0,0.8698501650131057,2,14.0,0.6422473003941817,2,16.0
65.0,2,24.0,1.1428571428571428,9.527975322677069,0,0.0,0.6538346218181834,0,2.0,0.816416598742423,2,24.0,0.6680603009901,2,26.0
70.0,0,0.0,0.0,9.417292814060819,0,0.0,0.8765505800153021,0,2.0,0.8944699966777694,0,12.0,0.47399596038106595,0,14.0
75.0,3,2.0,0.08333333333333333,7.878337395470943,2,2.0,0.21846049220182368,0,2.0,0.6500582099628682,1,0.0,0.5878566380491718,3,4.0
80.0,3,17.0,0.68,8.70594451763009,2,12.0,0.23924031746172783,1,7.0,0.6483127735844211,0,0.0,0.7259007722248969,3,19.0
85.0,4,16.0,0.5333333333333333,8.216694831910248,1,0.0,0.5603318722210774,1,12.0,0.54032117051478,2,6.0,0.49466445098856654,4,18.0
90.0,3,20.0,0.7142857142857143,8.859766782324387,0,0.0,0.6831658270673211,0,2.0,0.5115321575435725,3,20.0,0.44949078952961263,3,22.0
95.0,4,10.0,0.4,6.997954579399123,1,3.0,0.7270029627973117,2,6.0,0.019941902410867313,1,20.0,0.3777005716103834,4,29.0
100.0,3,9.0,0.391304347826087,7.063789071064163,0,0.0,0.4226135761237616,1,14.0,0.4635299337852907,2,8.0,0.48204538753121795,3,22.0
105.0,0,0.0,0.0,9.563676930789983,0,2.0,0.7392519805126726,0,8.0,0.7597080431517178,0,0.0,0.6336632331528615,0,10.0
110.0,3,8.0,0.38095238095238093,9.326478594240617,1,4.0,0.6050395272813062,0,4.0,0.8181454282701638,2,6.0,0.30471482373612696,3,14.0
115.0,1,7.0,0.3333333333333333,7.916656757943009,1,9.0,0.6175240905394832,0,4.0,0.6468348416666826,0,7.0,0.3456125523123173,1,20.0
120.0,4,11.0,0.55,7.270904811468964,0,0.0,0.701591299568868,4,17.0,0.3225232301319125,0,0.0,0.9243902528518388,4,17.0
125.0,2,3.0,0.13636363636363635,7.843239668432402,0,0.0,0.807602732072939,2,24.0,0.49709927081556843,0,0.0,0.49149408365045744,2,24.0
130.0,0,0.0,0.0,8.949108337825082,0,2.0,0.5283391736088768,0,7.0,0.635502010328581,0,2.0,0.8836112291707564,0,11.0
135.0,2,8.0,0.2962962962962963,9.145309307276833,1,7.0,0.645116497440947,1,3.0,0.5704482484300152,0,2.0,0.6060150659650603,2,12.0
140.0,2,1.0,0.03571428571428571,8.73487968216117,1,2.0,0.6490196059776765,1,2.0,0.05691697800360043,0,0.0,0.8270423916869948,2,4.0
145.0,4,12.0,0.42857142857142855,10.049540515356084,1,3.0,0.6353833701350802,2,13.0,0.33020577192878714,1,0.0,0.6644518876956025,4,16.0
150.0,3,9.0,0.34615384615384615,8.39854834432536,3,11.0,0.3959614726940265,0,10.0,0.5964376076880251,0,0.0,0.7042621316854754,3,21.0
155.0,2,3.0,0.10344827586206896,8.966411776690832,1,13.0,0.5180700647666334,1,2.0,0.6931918245280088,0,0.0,0.6900435978550385,2,15.0
160.0,1,2.0,0.07692307692307693,9.91654166107029,0,7.0,0.711393482309338,1,6.0,0.7439409744004956,0,0.0,0.7242781765647743,1,13.0
165.0,4,15.0,0.5555555555555556,8.938595195915743,1,4.0,0.6479063467016895,1,11.0,0.743750141837121,2,6.0,0.46913668044452395,4,21.0
170.0,2,9.0,0.3333333333333333,8.022172541448558,2,9.0,0.4735564201327351,0,2.0,0.6923634665454221,0,6.0,0.38121473617796087,2,17.0
175.0,0,0.0,0.0,9.633828339868423,0,7.0,0.7584135619854033,0,2.0,0.8363728988623208,0,0.0,0.661760131825615,0,9.0
180.0,1,1.0,0.04,10.861319523674876,0,2.0,0.7904644766784074,1,3.0,0.7626818813581595,0,0.0,0.8906135184399002,1,5.0
185.0,1,6.0,0.3,10.046995422756144,0,2.0,0.8428722052476213,1,8.0,0.5474903572710024,0,0.0,0.8555895416547655,1,10.0
190.0,1,1.0,0.05263157894736842,6.96637483059665,0,0.0,0.44067879098521473,0,1.0,0.4743232562828576,1,1.0,0.2627374126584206,1,2.0
195.0,2,2.0,0.1111111111111111,9.141095053522108,2,2.0,0.5150870120764165,0,0.0,0.6825550462523683,0,4.0,0.8332893903024434,2,6.0
200.0,3,11.0,0.6111111111111112,9.802812609025917,1,7.0,0.6979231503195309,1,2.0,0.41038957862452835,1,4.0,0.6929851762012016,3,13.0
205.0,3,16.0,0.9411764705882353,8.546542819165872,0,0.0,0.7448623756476617,2,9.0,0.0008135493801138031,1,9.0,0.6104051973810072,3,18.0
210.0,3,31.0,1.8235294117647058,9.831151595931177,0,0.0,0.7938373927761038,2,19.0,0.0,1,12.0,0.5307003835135441,3,31.0
215.0,3,30.0,2.142857142857143,9.661212965800104,0,0.0,1.0,2,29.0,0.43454175871436274,1,1.0,0.001838601673082217,3,30.0
220.0,2,6.0,0.42857142857142855,9.41773702841208,0,0.0,1.0,0,15.0,0.6794253961595232,2,6.0,0.0,2,21.0
225.0,2,0.0,0.0,8.443295494129538,1,0.0,0.16168410152213983,0,0.0,0.6860117882708505,1,2.0,0.5873152266356467,2,2.0
230.0,1,0.0,0.0,9.051862857981837,1,0.0,0.5696935821725512,0,0.0,0.3936061927336803,0,2.0,0.8054696083765446,1,2.0
235.0,3,9.0,0.5625,8.92774632337506,0,0.0,0.5589625302117441,3,9.0,0.0014599924982643074,0,2.0,0.9072276462991953,3,11.0
240.0,4,9.0,0.5294117647058824,6.456788802140886,2,6.0,0.5054640117585604,0,11.0,0.12185996216277035,2,5.0,0.2334192331823209,4,22.0
245.0,1,1.0,0.058823529411764705,8.019490886788592,1,5.0,0.5665532474106483,0,0.0,1.0,0,6.0,0.5816268113432316,1,11.0
250.0,4,7.0,0.3181818181818182,9.196695561027452,3,7.0,0.48283211711695906,0,2.0,0.7768036647509403,1,2.0,0.6746922282194548,4,11.0
255.0,0,0.0,0.0,9.434493339099628,0,4.0,0.40140961108009376,0,2.0,0.9259522174001916,0,2.0,0.8684610982055784,0,8.0
260.0,3,8.0,0.38095238095238093,7.245505533221492,2,7.0,0.419240041541677,0,4.0,0.7217776995575769,1,3.0,0.23615938347366608,3,14.0
265.0,0,0.0,0.0,7.935646136837374,0,5.0,0.6092262293299271,0,2.0,0.740106647111012,0,3.0,0.10667538506043575,0,10.0
270.0,2,6.0,0.3157894736842105,9.32798147087083,2,7.0,0.3870328234694987,0,2.0,0.8840621134125943,0,0.0,0.2028907001302115,2,9.0
275.0,2,4.0,0.2222222222222222,8.896594027131812,0,9.0,0.5447384187202655,2,6.0,0.4585062105266119,0,0.0,0.6280352243354056,2,15.0
