step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.697015164634731,0,0.0,0.4846358880384063,0,0.0,0.612645699717336,0,0.0,0.6509394521281331,0,0.0
10.0,1,0.0,0.0,10.205329451310849,1,0.0,0.5951842318668852,0,0.0,0.9141490567306094,0,0.0,0.7666941232149227,1,0.0
15.0,2,1.0,0.047619047619047616,8.349323682920913,1,0.0,0.5413272382284195,0,0.0,0.2272207090810312,1,1.0,0.4401937797834234,2,1.0
20.0,1,6.0,0.3333333333333333,10.7550449513286,0,0.0,0.8055628578509159,0,0.0,0.9784618583696896,1,6.0,0.6389696489911006,1,6.0
25.0,8,11.0,0.4074074074074074,5.4252024032937864,2,0.0,0.4121134779908996,2,0.0,0.4756159165311875,4,11.0,0.21789927554195535,8,11.0
30.0,4,19.0,0.6785714285714286,8.99644761435193,2,10.0,0.6448177983119753,2,10.0,0.6641395603285045,0,3.0,0.7456441966304027,4,23.0
35.0,1,1.0,0.03225806451612903,8.675399066274633,1,2.0,0.5298457856134788,0,0.0,0.6904248291481364,0,0.0,0.6438717046018356,1,2.0
40.0,6,15.0,0.39473684210526316,7.419356262030929,4,12.0,0.3981843818189008,2,4.0,0.2874553578072288,0,0.0,0.5788433598362085,6,16.0
45.0,6,27.0,0.8181818181818182,7.527584135256878,2,19.0,0.46074854028359097,4,23.0,0.3789257863455718,0,0.0,0.8253994417063226,6,42.0
50.0,7,50.0,1.3157894736842106,5.300640791581576,1,9.0,0.3161086098522964,6,54.0,0.4188010171094449,0,0.0,0.34147938272581685,7,63.0
55.0,4,17.0,0.425,8.211394383030722,2,9.0,0.4855649439308953,1,47.0,0.6604785768008438,1,0.0,0.6754050731486704,4,56.0
60.0,1,2.0,0.05,8.784500141582994,0,3.0,0.5446799498091831,0,11.0,0.7305736320767999,1,4.0,0.6277628646699165,1,18.0
65.0,5,11.0,0.23404255319148937,7.974587680633166,4,13.0,0.4605890223806008,1,3.0,0.5064166701067496,0,3.0,0.6965769273412012,5,19.0
70.0,8,23.0,0.5227272727272727,7.509731445795048,3,23.0,0.5090016216123385,5,19.0,0.3636186786243997,0,2.0,0.7645383363564192,8,44.0
75.0,6,19.0,0.38,6.088155874501622,3,25.0,0.321017560648567,3,31.0,0.44882078182469565,0,2.0,0.354162404216321,6,58.0
80.0,8,20.0,0.39215686274509803,7.494175527509867,3,24.0,0.3900776628810275,0,18.0,0.7736101476684809,5,21.0,0.46918585051737677,8,63.0
85.0,20,71.0,1.2456140350877194,5.659357320342497,8,46.0,0.2596453132991191,3,14.0,0.23066665344813772,9,49.0,0.378049676615459,20,109.0
90.0,11,52.0,0.9629629629629629,5.568734835661764,4,54.0,0.33103920198801,6,35.0,0.13821872065746574,1,42.0,0.46836594512850016,11,131.0
95.0,7,19.0,0.38,5.729647687462897,5,46.0,0.27047340856425284,2,41.0,0.4499457674908788,0,13.0,0.4291004615633177,7,100.0
100.0,9,26.0,0.4482758620689655,7.7590075603430275,5,45.0,0.37099809535523115,2,17.0,0.6504360250765638,2,9.0,0.5336316391165,9,71.0
105.0,3,18.0,0.29508196721311475,8.634204674048396,1,48.0,0.4197643613903546,2,18.0,0.7735374549014339,0,2.0,0.6795968908731828,3,68.0
110.0,8,27.0,0.4090909090909091,6.858912285773573,3,59.0,0.343506172624569,1,1.0,0.45493337971027387,4,15.0,0.46776222856034927,8,75.0
115.0,17,90.0,1.5517241379310345,4.804105947669891,8,86.0,0.2548618638077916,4,16.0,0.24911021042419632,5,36.0,0.340981798625927,17,138.0
120.0,19,116.0,2.1481481481481484,2.7694957924765187,8,103.0,0.14718987356662705,2,23.0,0.12492036705632932,9,72.0,0.13566130176632188,19,198.0
125.0,15,76.0,1.2459016393442623,5.229534345161875,7,105.0,0.23654741983668157,2,20.0,0.49184953522233044,6,84.0,0.3350474767150309,15,209.0
130.0,11,31.0,0.5,6.565609725241874,8,125.0,0.25250328021693974,3,22.0,0.610114971956195,0,48.0,0.5588279311514637,11,195.0
135.0,13,64.0,0.9142857142857143,6.1433199774113145,9,166.0,0.1888429715298727,3,37.0,0.5376960395602005,1,37.0,0.3346692857898686,13,240.0
140.0,22,144.0,2.2857142857142856,5.04064502482363,12,216.0,0.16311758532395776,4,56.0,0.42237531528633926,6,61.0,0.30840763592703596,22,333.0
145.0,25,144.0,2.25,2.118471391172188,11,228.0,0.07937747836121065,9,87.0,0.023221276511342048,5,64.0,0.12730211739353867,25,379.0
150.0,14,82.0,1.28125,5.08665312962628,8,213.0,0.15610462847855872,4,77.0,0.43086272298232126,2,36.0,0.40318645647938683,14,326.0
155.0,11,57.0,0.890625,6.8344258689494275,8,183.0,0.24400674848232234,0,30.0,0.7251735648804162,3,22.0,0.4914958306946314,11,235.0
160.0,12,48.0,0.6666666666666666,7.422204658785939,5,191.0,0.30810748670626625,2,7.0,0.6827306245100351,5,41.0,0.5415560182521192,12,239.0
165.0,10,40.0,0.6153846153846154,7.69515879224965,8,222.0,0.3674031532516574,2,15.0,0.6629126715605115,0,30.0,0.6779227817659472,10,267.0
170.0,11,70.0,1.0769230769230769,5.653297009896543,8,261.0,0.21499894929543473,2,27.0,0.387960802968323,1,3.0,0.45995416371788167,11,291.0
175.0,21,150.0,2.3076923076923075,4.739880548368258,14,320.0,0.13933305760701697,4,47.0,0.5068889470069091,3,2.0,0.46600607141726086,21,369.0
180.0,27,194.0,2.9846153846153847,4.003764387477122,16,349.0,0.12270110346117144,5,68.0,0.35679993152726647,6,23.0,0.3199284689390373,27,440.0
185.0,21,125.0,1.7857142857142858,4.292324336245986,11,329.0,0.15817477190231538,1,37.0,0.45974298827151233,9,59.0,0.24001969841919882,21,425.0
190.0,26,185.0,2.681159420289855,4.382849927200862,11,375.0,0.14786681482598957,2,10.0,0.533132029686867,13,115.0,0.19962364194074123,26,500.0
195.0,31,190.0,2.676056338028169,3.902167940968521,17,445.0,0.0712924162479282,3,25.0,0.4409573781497051,11,140.0,0.14414139268103285,31,610.0
200.0,26,199.0,3.1587301587301586,3.908022763010831,19,540.0,0.0999977398295489,3,42.0,0.41542717371326354,4,100.0,0.3562402965349488,26,682.0
205.0,34,247.0,3.579710144927536,3.3874622511622503,21,634.0,0.04551296605726744,8,64.0,0.34732225054644383,5,91.0,0.27351722288935376,34,789.0
210.0,28,278.0,4.028985507246377,4.145724977577706,15,644.0,0.10333321246318669,6,94.0,0.2931815090399095,7,118.0,0.22087099902070284,28,856.0
215.0,25,249.0,3.9523809523809526,3.9418066360521364,12,548.0,0.15004002671445613,8,130.0,0.17018502743614325,5,122.0,0.17988807811125046,25,800.0
220.0,22,256.0,3.764705882352941,5.230963975460193,11,439.0,0.1177314614737099,9,176.0,0.37573076443975073,2,73.0,0.31903358962662626,22,688.0
225.0,15,114.0,1.7014925373134329,6.915271270229324,10,480.0,0.20164485886361225,3,148.0,0.5388732373460441,2,16.0,0.5321135445770673,15,644.0
230.0,14,80.0,1.1267605633802817,6.191688934827098,9,532.0,0.22457554688314257,1,43.0,0.427027337104693,4,30.0,0.42215697339167924,14,605.0
235.0,15,124.0,1.9076923076923078,7.073381388213748,9,576.0,0.3230227268261097,2,13.0,0.534102663548778,4,50.0,0.5695208365012953,15,639.0
240.0,18,161.0,2.596774193548387,5.1229424479587955,10,621.0,0.2954734834832436,3,6.0,0.2783740332991188,5,71.0,0.4343238875268471,18,698.0
245.0,27,280.0,4.057971014492754,4.4714914939042085,15,684.0,0.17178639466840384,6,33.0,0.19768190186980034,6,98.0,0.464173899671949,27,815.0
