step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,7.0443275516801,0,0.0,0.5076342289424693,0,0.0,0.5329808695132755,0,0.0,0.5246970077280998,0,0.0
10.0,1,0.0,0.0,10.25261693536988,1,0.0,0.6588780255251163,0,0.0,0.9270398439408372,0,0.0,0.7972780879492046,1,0.0
15.0,0,0.0,0.0,8.253265428259247,0,0.0,0.5060322777419202,0,0.0,0.2059772092185151,0,0.0,0.5287674850767983,0,0.0
20.0,1,5.0,0.2777777777777778,10.079128138210386,1,5.0,0.6591451843721511,0,0.0,0.8508537155324524,0,0.0,0.7257651645014088,1,5.0
25.0,9,1.0,0.037037037037037035,5.232400400535048,4,1.0,0.4096951744699418,2,0.0,0.20986503729767142,3,0.0,0.3575779699243734,9,1.0
30.0,5,22.0,0.7857142857142857,7.824116336924206,3,12.0,0.4421655938977172,2,10.0,0.5372530828534733,0,0.0,0.7906864767770962,5,22.0
35.0,5,11.0,0.3793103448275862,7.079944075033663,3,22.0,0.39904374913674706,1,1.0,0.44837407127537277,1,1.0,0.5995212036810906,5,24.0
40.0,4,11.0,0.3142857142857143,7.017241321397463,3,18.0,0.3334671990952366,1,8.0,0.606657327963614,0,0.0,0.5086914789214123,4,26.0
45.0,0,0.0,0.0,8.571100438762347,0,8.0,0.5150633632756288,0,4.0,0.7971485824087766,0,0.0,0.7775771901288131,0,12.0
50.0,5,16.0,0.4,6.878272239213652,4,24.0,0.3664899146896059,1,6.0,0.5437090562957313,0,0.0,0.4322113798459726,5,30.0
55.0,7,20.0,0.5,7.174863383543027,5,37.0,0.39384579671947384,0,4.0,0.6555056305907088,2,3.0,0.6170831129478903,7,44.0
60.0,9,27.0,0.7105263157894737,6.17627595072789,3,34.0,0.3114784565421324,4,15.0,0.2966019678914861,2,11.0,0.49696336923571216,9,60.0
65.0,4,14.0,0.3111111111111111,7.202033633335966,3,32.0,0.3431850727117822,1,19.0,0.5311880536123555,0,6.0,0.549458042923146,4,57.0
70.0,2,2.0,0.045454545454545456,8.263727466253703,2,29.0,0.42652330951489187,0,9.0,0.7499740220520142,0,2.0,0.7791850013146229,2,40.0
